,,,,,,,,,,,extracted automatically,,,,,,,
1333,2023,Innovative Visualization Approach for Biomechanical Time Series in Stroke Diagnosis Using Explainable Machine Learning Methods: A Proof-of-Concept Study,Kyriakos D. Apostolidis; Christos Kokkotis; Evangelos Karakasis; Evangeli Karampina; Serafeim Moustakidis; Dimitrios Menychtas; Georgios Giarmatzis; Dimitrios Tsiptsios; Κonstantinos Vadikolias; Nikolaos Aggelousis,Article,Multidisciplinary Digital Publishing Institute,8,TRUE,https://www.mdpi.com/2078-2489/14/10/559/pdf?version=1697092214,,10.3390/info14100559,stroke gait diagnosis,Stroke,Neurology,Grad-CAM,Siamese Neural Network; SVM; Random Forest; Neural Network,Tabular/EHR,Diagnosis/detection/classification,high
1334,2024,Insights from explainable AI in oesophageal cancer team decisions,Navamayooran Thavanesan; Arya Farahi; Charlotte Parfitt; Zehor Belkhatir; Tayyaba Azim; Elvira Pérez Vallejos; Zoë S. Walters; Sarvapali D. Ramchurn; Tim Underwood; Ganesh Vigneswaran,"Journal Article||Research Support, Non-U.S. Gov't",Elsevier BV,8,TRUE,https://doi.org/10.1016/j.compbiomed.2024.108978,,10.1016/j.compbiomed.2024.108978,oesophageal cancer treatment decision,Oesophageal cancer,Oncology,Partial Dependence; variable importance,Random Forest,Tabular/EHR,Prognosis/outcome prediction,high
1336,2024,Insights from Explainable Artificial Intelligence of Pollution and Socioeconomic Influences for Respiratory Cancer Mortality in Italy,Donato Romano; Pierfrancesco Novielli; Domenico Diacono; Roberto Cilli; Ester Pantaleo; Nicola Amoroso; Loredana Bellantuono; A. Monaco; R. Bellotti; Sabina Tangaro,Journal Article,Multidisciplinary Digital Publishing Institute,8,TRUE,https://www.mdpi.com/2075-4426/14/4/430/pdf?version=1713448951,38673057,10.3390/jpm14040430,respiratory cancer mortality,Cancer (general),Oncology,XAI (unspecified),ML algorithms (unspecified),Tabular/EHR,Survival/mortality prediction,medium
1338,2025,Insights into heart failure metabolite markers through explainable machine learning,Cantin Baron; Pamela Mehanna; Caroline Daneault; Leslie Hausermann; David Busseuil; Jean‐Claude Tardif; Jocelyn Dupuis; Christine Des Rosiers; Matthieu Ruiz; Julie Hussin,Journal Article,Elsevier BV,6,TRUE,https://doi.org/10.1016/j.csbj.2025.02.041,40160858,10.1016/j.csbj.2025.02.041,heart failure metabolomics,Heart failure,Cardiology,LIME; permutation feature importance; Friedman's H-statistic,Ridge Logistic Regression; SVM; XGBoost,Omics,Treatment response prediction,high
1347,2025,Integrating explainable machine learning and transcriptomics data reveals cell-type specific immune signatures underlying macular degeneration,K. Ma; Hosei Nakajima; Nipa Basak; Arko Barman; Rinki Ratnapriya,Journal Article,Nature Portfolio,7,TRUE,https://www.nature.com/articles/s41525-025-00507-2.pdf,40517179,10.1038/s41525-025-00507-2,age-related macular degeneration,Age-related macular degeneration,Ophthalmology,XAI (unspecified),ML classifiers (unspecified),Omics,Diagnosis/detection/classification,high
1348,2024,Integrating explainable machine learning and user-centric model for diagnosing cardiovascular disease: A novel approach,Gangani Dharmarathne; Madhusha Bogahawaththa; Upaka Rathnayake; D.P.P. Meddage,Article,Elsevier BV,14,TRUE,https://doi.org/10.1016/j.iswa.2024.200428,,10.1016/j.iswa.2024.200428,cardiovascular disease,Cardiovascular disease,Cardiology,SHAP,Decision Tree; KNN; Random Forest; XGBoost,Tabular/EHR,Diagnosis/detection/classification,high
1349,2024,Integrating Explainable Machine Learning in Clinical Decision Support Systems: Study Involving a Modified Design Thinking Approach,Michael Shulha; Jordan Hovdebo; Vinita D’Souza; F. Thibault; Rola Harmouche,Journal Article,,18,TRUE,https://formative.jmir.org/2024/1/e50475/PDF,38625728,10.2196/50475,COVID-19 severity and ICU admission (chest X-ray),COVID-19,Respiratory & Infectious Disease,XAI (patch-based),ML model (unspecified),Multimodal,Prognosis/outcome prediction,high
1352,2024,Integrating Metabolomics Domain Knowledge with Explainable Machine Learning in Atherosclerotic Cardiovascular Disease Classification,Everton J. Santana; Eliana Ibrahimi; Evangelos Ntalianis; Nicholas Cauwenberghs; Tatiana Kuznetsova,Journal Article,Multidisciplinary Digital Publishing Institute,9,TRUE,https://www.mdpi.com/1422-0067/25/23/12905/pdf?version=1733099901,39684618,10.3390/ijms252312905,atherosclerotic cardiovascular disease,Cardiovascular disease,Cardiology,SHAP,XGBoost; PLS-DA,Omics,Risk prediction/screening,high
1356,2024,Integrating proteomics and explainable artificial intelligence: a comprehensive analysis of protein biomarkers for endometrial cancer diagnosis and prognosis,Şeyma Yaşar; Fatma Hilal Yağın; Rauf Melekoğlu; Luca Paolo Ardigò,Journal Article,Frontiers Media,18,TRUE,https://www.frontiersin.org/articles/10.3389/fmolb.2024.1389325/pdf?isPublishedV2=False,38894711,10.3389/fmolb.2024.1389325,endometrial cancer,Endometrial cancer,Oncology,SHAP,XGBoost; LightGBM,Omics,Prognosis/outcome prediction,high
1357,2025,Intelligent skin disease prediction system using transfer learning and explainable artificial intelligence,Sagheer Abbas; Fahad Ahmed; Wasim Ahmad Khan; Munir Ahmad; Muhammad Adnan Khan; Taher M. Ghazal,"Journal Article||Research Support, Non-U.S. Gov't",Nature Portfolio,47,TRUE,https://www.nature.com/articles/s41598-024-83966-4.pdf,39799199,10.1038/s41598-024-83966-4,skin diseases (chickenpox measles monkeypox),Monkeypox,Other,Layer-wise Relevance Propagation,VGG16,Medical imaging,Risk prediction/screening,high
1358,2023,Interoperable and explainable machine learning models to predict morbidity and mortality in acute neurological injury in the pediatric intensive care unit: secondary analysis of the TOPICC study,Neil Munjal; Robert S. B. Clark; Dennis Simon; Patrick M. Kochanek; Christopher M. Horvat,Journal Article,Frontiers Media,11,TRUE,https://www.frontiersin.org/articles/10.3389/fped.2023.1177470/pdf,37456559,10.3389/fped.2023.1177470,acute neurological injury in paediatric ICU,Paediatric ICU mortality,Critical Care & Surgery,SHAP,Random Forest; Gradient Boosting; SVM; Ensemble Regressor,Tabular/EHR,Survival/mortality prediction,high
1366,2023,Interpretable Estimation of Suicide Risk and Severity from Complete Blood Count Parameters with Explainable Artificial Intelligence Methods,Neslihan Cansel; Fatma Hilal Yağın; Mustafa Akan; Bedriye Ilkay Aygul,Journal Article,"Medicinska naklada, Zagreb",13,TRUE,https://doi.org/10.24869/psyd.2023.62,,10.24869/psyd.2023.62,suicide risk and attempt severity,Suicide,Psychiatry & Mental Health,SHAP,XGBoost; Random Forest; Logistic Regression; SVM,Tabular/EHR,Risk prediction/screening,high
1370,2024,Interpretable predictive value of including HDL-2b and HDL-3 in an explainable boosting machine model for multiclass classification of coronary artery stenosis severity in acute myocardial infarction patients,Bin Wang; Dong Li; Yu Geng; Feifei Jin; Yujie Wang; Changhua Lv; Tingting Lv; Yajun Xue; Ping Zhang,Journal Article,Oxford University Press,1,TRUE,https://academic.oup.com/ehjdh/advance-article-pdf/doi/10.1093/ehjdh/ztae100/61263155/ztae100.pdf,40110218,10.1093/ehjdh/ztae100,coronary artery stenosis severity in acute myocardial infarction,Myocardial infarction,Cardiology,EBM explanations,Explainable Boosting Machine; Logistic Regression; XGBoost; Random Forest,Tabular/EHR,Risk prediction/screening,high
1375,2024,Interpreting Stroke-Impaired Electromyography Patterns through Explainable Artificial Intelligence,Iqram Hussain; Rafsan Jany,Journal Article,Multidisciplinary Digital Publishing Institute,34,TRUE,https://www.mdpi.com/1424-8220/24/5/1392/pdf?version=1708528257,38474928,10.3390/s24051392,stroke gait impairment,Stroke,Neurology,SHAP; LIME; Anchor,Gradient Boosting; ML models (unspecified),Multimodal,Biomarker discovery,high
1381,2021,Investigating ADR mechanisms with Explainable AI: a feasibility study with knowledge graph mining,Emmanuel Bresso; Pierre Monnin; Cédric Bousquet; François-Élie Calvier; Ndeye Coumba Ndiaye; Nadine Petitpain; Malika Smaïl‐Tabbone; Adrien Coulet,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,22,TRUE,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-021-01518-6,34039343,10.1186/s12911-021-01518-6,drug-induced liver injury and severe cutaneous adverse reactions,Drug-induced liver injury,Other,Decision Tree rules (transparent),Decision Tree; Classification Rules,Tabular/EHR,Diagnosis/detection/classification,high
1382,2025,Investigating lightweight and interpretable machine learning models for efficient and explainable stress detection,Debasish Ghose; Ayan Chatterjee; Indika A. M. Balapuwaduge; Yuan Lin; Soumya P. Dash,Journal Article,Frontiers Media,9,TRUE,https://public-pages-files-2025.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1523381/pdf,40881733,10.3389/fdgth.2025.1523381,stress detection from heart rate variability,Stress,Psychiatry & Mental Health,LIME,KNN; Decision Tree; ML models (unspecified),Physiological signal,Monitoring/management,medium
1383,2025,Investigating Protective and Risk Factors and Predictive Insights for Aboriginal Perinatal Mental Health: Explainable Artificial Intelligence Approach,Guanjin Wang; Hachem Bennamoun; Wai Hang Kwok; Jenny Paola Ortega Quimbayo; Bridgette Kelly; Trish Ratajczak; Rhonda Marriott; Roz Walker; Jayne Kotz,Journal Article,JMIR Publications,7,TRUE,https://www.jmir.org/2025/1/e68030/PDF,40306634,10.2196/68030,perinatal psychological distress in Aboriginal mothers,Depression,Psychiatry & Mental Health,SHAP; LIME; EBM explanations,EBM; Random Forest; CatBoost; LightGBM; XGBoost; KNN; SVM,Tabular/EHR,Prognosis/outcome prediction,high
1384,2024,Investigation on explainable machine learning models to predict chronic kidney diseases,Samit Kumar Ghosh; Ahsan H. Khandoker,Journal Article,Nature Portfolio,117,TRUE,https://www.nature.com/articles/s41598-024-54375-4.pdf,38355876,10.1038/s41598-024-54375-4,chronic kidney disease,Chronic kidney disease,Nephrology & Urology,SHAP; LIME,XGBoost; Logistic Regression; Random Forest; Decision Tree; Naive Bayes,Tabular/EHR,Survival/mortality prediction,high
1392,2025,Leveraging explainable artificial intelligence with ensemble of deep learning model for dementia prediction to enhance clinical decision support systems,Mohamed Medani; Ghada Moh. Samir Elhessewi; Mohammed Alqahtani; Somia Asklany; Sulaiman Alamro; Da’ad Albalawneh; Menwa Alshammeri; Mohammed A. Assiri,Journal Article,Nature Portfolio,7,TRUE,https://www.nature.com/articles/s41598-025-97102-3.pdf,40360623,10.1038/s41598-025-97102-3,dementia,Dementia,Neurology,Grad-CAM,BiLSTM; Sparse Autoencoder; TCN; Ensemble; Naked Mole-rat Algorithm,Tabular/EHR,Treatment response prediction,high
1394,2022,Leveraging explainable machine learning to identify gait biomechanical parameters associated with anterior cruciate ligament injury,Christos Kokkotis; Serafeim Moustakidis; Themistoklis Tsatalas; Charis Ntakolia; Georgios Chalatsis; Stylianos Konstadakos; Michael Hantes; Giannis Giakas; Dimitrios Tsaopoulos,"Journal Article||Research Support, Non-U.S. Gov't",Nature Portfolio,43,TRUE,https://www.nature.com/articles/s41598-022-10666-2.pdf,35459787,10.1038/s41598-022-10666-2,anterior cruciate ligament injury,Musculoskeletal injury,Musculoskeletal & Rheumatology,SHAP,SVM; Neural Network; ML classifiers (unspecified),Tabular/EHR,Diagnosis/detection/classification,high
1399,2025,LivXAI-Net: An explainable AI framework for liver disease diagnosis with IoT-based real-time monitoring support,Deepak Kumar; Brijesh Bakariya; Chaman Verma; Zoltán Illés,Journal Article,Elsevier BV,12,TRUE,https://doi.org/10.1016/j.cmpb.2025.108950,,10.1016/j.cmpb.2025.108950,liver cirrhosis and primary biliary cirrhosis,Liver disease,Other,SHAP; Permutation Feature Importance,Random Forest; XGBoost,Wearable/sensor,Biomarker discovery,high
1403,2025,Machine learning and explainable artificial intelligence to predict and interpret lead toxicity in pregnant women and unborn baby,Priyanka Chaurasia; Pratheepan Yogarajah; Abbas Ali Mahdi; Sally McClean; Mohammad Kaleem Ahmad; Tabrez Jafar; Sanjay Kumar Singh,Journal Article,Frontiers Media,7,TRUE,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1608949/pdf,40520215,10.3389/fdgth.2025.1608949,prenatal lead exposure,Environmental health,Other,SHAP; LIME,Random Forest,Tabular/EHR,Risk prediction/screening,medium
1405,2023,Machine Learning and Explainable Artificial Intelligence Using Counterfactual Explanations for Evaluating Posture Parameters,Carlo Dindorf; Oliver Ludwig; Steven Simon; Stephan Becker; Michael Fröhlich,Journal Article,Multidisciplinary Digital Publishing Institute,13,TRUE,https://www.mdpi.com/2306-5354/10/5/511/pdf?version=1682402863,37237581,10.3390/bioengineering10050511,postural disorders (hyperlordosis and hyperkyphosis),Spinal disorders,Musculoskeletal & Rheumatology,Counterfactual Explanations,Gaussian Process Classifier,Tabular/EHR,Monitoring/management,high
1407,2021,Machine learning for predicting readmission risk among the frail: Explainable AI for healthcare,Somya D. Mohanty; Deborah Lekan; Thomas P. McCoy; Marjorie Jenkins; Prashanti Manda,Journal Article,Elsevier BV,64,TRUE,http://www.cell.com/article/S2666389921002622/pdf,35079714,10.1016/j.patter.2021.100395,30-day unplanned readmission in elderly patients,Hospital readmission,Critical Care & Surgery,SHAP,CatBoost; ML models (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
1411,2025,Machine learning prediction of metabolic dysfunction-associated fatty liver disease risk in American adults using body composition: explainable analysis based on SHapley Additive exPlanations,Yan Hong; Xinrong Chen; Ling Wang; Fan Zhang; ZiYing Zeng; Weining Xie,Journal Article,Frontiers Media,11,TRUE,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2025.1616229/pdf,40661678,10.3389/fnut.2025.1616229,metabolic dysfunction-associated fatty liver disease,NAFLD/MASLD,Diabetes & Endocrinology,SHAP,GBM; Decision Tree; SVM; GLM; Random Forest; XGBoost; Boruta,Tabular/EHR,Risk prediction/screening,high
1413,2024,Machine Learning-Based Explainable Automated Nonlinear Computation Scoring System for Health Score and an Application for Prediction of Perioperative Stroke: Retrospective Study,Mi‐Young Oh; Hee-Soo Kim; Young Mi Jung; Hyung‐Chul Lee; Seung-Bo Lee; Seung Mi Lee,Journal Article,JMIR Publications,13,TRUE,https://www.jmir.org/2025/1/e58021/PDF,40106818,10.2196/58021,perioperative stroke,Stroke,Neurology,SHAP,CatBoost,Tabular/EHR,Risk prediction/screening,high
1415,2025,Machine Learning-Based Interpretable Screening for Osteoporosis in Tuberculosis Spondylitis Patients Using Blood Test Data: Development and External Validation of a Novel Web-Based Risk Calculator with Explainable Artificial Intelligence (XAI),Parhat Yasin; Liwen Ding; Mardan Mamat; Wei Guo; Xinghua Song,Journal Article,Dove Medical Press,3,TRUE,https://www.dovepress.com/article/download/103483,40469477,10.2147/IDR.S520062,osteoporosis in tuberculosis spondylitis patients,Osteoporosis,Musculoskeletal & Rheumatology,SHAP,Logistic Regression; Random Forest; XGBoost; LASSO; Boruta; RFE; SMOTE,Medical imaging,Prognosis/outcome prediction,high
1416,2025,Machine Learning-Based Stacking Ensemble Model for Prediction of Heart Disease with Explainable AI and K-Fold Cross-Validation: A Symmetric Approach,Shamsuddin Sultan; Nadeem Javaid; Nabil Alrajeh; Muhammad Aslam,Article,Multidisciplinary Digital Publishing Institute,24,TRUE,https://www.mdpi.com/2073-8994/17/2/185/pdf?version=1737791023,,10.3390/sym17020185,heart disease,Heart disease,Cardiology,SHAP,Naive Bayes; CatBoost; Decision Tree; Gradient Boosting; Stacking Ensemble; SMOTE,Tabular/EHR,Survival/mortality prediction,high
1417,2024,Machine learning-enabled prediction of prolonged length of stay in hospital after surgery for tuberculosis spondylitis patients with unbalanced data: a novel approach using explainable artificial intelligence (XAI),Parhat Yasin; Yasen Yimit; Xiaoyu Cai; Abasi Aimaiti; Weibin Sheng; Mardan Mamat; Mayidili Nijiati,Journal Article,BioMed Central,16,TRUE,https://eurjmedres.biomedcentral.com/counter/pdf/10.1186/s40001-024-01988-0,39054495,10.1186/s40001-024-01988-0,prolonged hospital stay after tuberculosis spondylitis surgery,Spinal disorders,Musculoskeletal & Rheumatology,SHAP; LIME; Gini Impurity Index; Permutation Feature Importance,XGBoost; ML algorithms (unspecified); LASSO; RFE; SMOTE,Medical imaging,Treatment response prediction,high
1424,2022,Medically-oriented design for explainable AI for stress prediction from physiological measurements,Dalia Jaber; Hazem Hajj; Fadi Maalouf; Wassim El-Hajj,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,44,TRUE,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-022-01772-2,35148762,10.1186/s12911-022-01772-2,stress detection from physiological wearable sensors,Stress,Psychiatry & Mental Health,XAI (report-based),ML model (unspecified),Wearable/sensor,Diagnosis/detection/classification,medium
1427,2024,Metabolomics Biomarker Discovery to Optimize Hepatocellular Carcinoma Diagnosis: Methodology Integrating AutoML and Explainable Artificial Intelligence,Fatma Hilal Yağın; Radwa El Shawi; Abdulmohsen Algarni; Cemil Çolak; Fahaid Al‐Hashem; Luca Paolo Ardigò,Journal Article,Multidisciplinary Digital Publishing Institute,17,TRUE,https://www.mdpi.com/2075-4418/14/18/2049/pdf?version=1726389493,39335728,10.3390/diagnostics14182049,hepatocellular carcinoma vs liver cirrhosis,Liver cancer,Oncology,SHAP (TreeSHAP),TPOT AutoML; Random Forest; SVM; KNN,Omics,Biomarker discovery,high
1428,2025,Meta-Ensemble Learning for Heart Disease Prediction: A Stacking-Based Approach With Explainable AI,Mehwish Naz; Aqsa Khalid; Abdul Hameed; Rabia Taj; Waleed Mumtaz; Faiz Abdullah Alotaibi; Mrim M. Alnfiai,Article,Institute of Electrical and Electronics Engineers,7,TRUE,https://doi.org/10.1109/access.2025.3588683,,10.1109/ACCESS.2025.3588683,heart disease,Heart disease,Cardiology,SHAP,ML models (unspecified); SMOTEENN,Tabular/EHR,Survival/mortality prediction,high
1431,2023,Model-agnostic explainable artificial intelligence tools for severity prediction and symptom analysis on Indian COVID-19 data,Athira Nambiar; S Harikrishnaa; S Sharanprasath,Journal Article,Frontiers Media,24,TRUE,https://www.frontiersin.org/articles/10.3389/frai.2023.1272506/pdf?isPublishedV2=False,38111787,10.3389/frai.2023.1272506,COVID-19 severity,COVID-19,Respiratory & Infectious Disease,SHAP; LIME,Decision Tree; XGBoost; Neural Network,Tabular/EHR,Risk prediction/screening,high
1432,2024,Transparent precision: explainable artificial intelligence empowered breast cancer recommendations for personalized treatment,Reena Lokare; Jyoti Wadmare; Sunita Patil; Ganesh Wadmare; Darshan Patil,Article,Institute of Advanced Engineering and Science (IAES),11,TRUE,https://ijai.iaescore.com/index.php/IJAI/article/download/24827/14078,,10.11591/ijai.v13.i3.pp2694-2702,breast cancer treatment selection,Breast cancer,Oncology,XAI (unspecified),Decision Tree,Omics,Treatment response prediction,high
1442,2024,Modeling and Predictive Analytics of Breast Cancer Using Ensemble Learning Techniques: An Explainable Artificial Intelligence Approach,Avi Deb Raha; Mrityunjoy Gain; Md. Mehedi Hassan; Anupam Kumar Bairagi; Fatema Jannat Dihan; Apurba Adhikary; Md. Bipul Hossain; Saydul Akbar Murad; Taher Al‐Shehari; Mohammed Kadrie; Nasser A Alsadhan,Article,,6,TRUE,https://cdn.techscience.press/files/cmc/2024/TSP_CMC-81-3/TSP_CMC_57415/TSP_CMC_57415.pdf,,10.32604/cmc.2024.057415,breast cancer,Breast cancer,Oncology,SHAP; LIME,Random Forest; XGBoost; SVM; MLP; Gradient Boosting,Tabular/EHR,Survival/mortality prediction,high
1446,2024,Modeling the fasting blood glucose response to basal insulin adjustment in type 2 diabetes: An explainable machine learning approach on real-world data,Camilla Heisel Nyholm Thomsen; Thomas Kronborg; Stine Hangaard; Peter Vestergaard; Ole Hejlesen; Morten Hasselstrøm Jensen,Journal Article,Elsevier BV,8,TRUE,https://doi.org/10.1016/j.ijmedinf.2024.105758,,10.1016/j.ijmedinf.2024.105758,type 2 diabetes basal insulin titration,Type 2 diabetes mellitus,Diabetes & Endocrinology,XAI (unspecified),Multiple Linear Regression; ML models (unspecified),Tabular/EHR,Monitoring/management,high
1448,2025,MORIX: Machine learning-aided framework for lethality detection and MORtality inference with eXplainable artificial intelligence in MAFLD subjects,Domenico Lofù; Paolo Sorino; Tommaso Colafiglio; Caterina Bonfiglio; Rossella Donghia; Gianluigi Giannelli; Angela Lombardi; Tommaso Di Noia; Eugenio Di Sciascio; Fedelucio Narducci,Article,Elsevier BV,8,TRUE,https://doi.org/10.1016/j.cmpbup.2024.100176,,10.1016/j.cmpbup.2024.100176,metabolic dysfunction-associated fatty liver disease mortality,NAFLD/MASLD,Diabetes & Endocrinology,XAI (unspecified),Random Forest; XGBoost; SVM; MLP; LightGBM; RFE,Tabular/EHR,Survival/mortality prediction,high
1449,2022,Mortality impact of low CAC density predominantly occurs in early atherosclerosis: explainable ML in the CAC consortium,Fay Y. Lin; Benjamin Goebel; Benjamin C. Lee; Yao Lu; Lohendran Baskaran; Yeonyee E. Yoon; Gabriel Maliakal; Umberto Gianni; A. Maxim Bax; Partho P. Sengupta; Piotr J. Slomka; Damini S Dey; Alan Rozanski; Donghee Han; Daniel S. Berman; Matthew J. Budoff; Michael D. Miedema; Khurram Nasir; John A. Rumberger; Seamus P. Whelton; Michael J. Blaha; Leslee J. Shaw,Article,Elsevier BV,4,FALSE,,,10.1016/j.jcct.2022.10.001,coronary artery calcium and all-cause mortality,Coronary artery disease,Cardiology,SHAP,XGBoost,Tabular/EHR,Survival/mortality prediction,high
1450,2023,"Mortality prediction in patients with hyperglycaemic crisis using explainable machine learning: a prospective, multicentre study based on tertiary hospitals",Puguang Xie; Cheng Yang; Gangyi Yang; Youzhao Jiang; Min He; Xiaoyan Jiang; Yan Chen; Liling Deng; Min Wang; David G. Armstrong; Yu Ma; Wuquan Deng,Journal Article,BioMed Central,11,TRUE,https://dmsjournal.biomedcentral.com/counter/pdf/10.1186/s13098-023-01020-1,36899433,10.1186/s13098-023-01020-1,hyperglycaemic crisis 3-year mortality,Type 1 diabetes mellitus,Diabetes & Endocrinology,SHAP,LightGBM; ML algorithms (unspecified),Tabular/EHR,Survival/mortality prediction,high
1452,2024,Mortality Prediction Modeling for Patients with Breast Cancer Based on Explainable Machine Learning,Sang Won Park; Y. S. Park; Eun‐Gyeong Lee; Heejung Chae; Phillip Park; Dong‐Woo Choi; Yeon Ho Choi; Juyeon Hwang; Seohyun Ahn; Keunkyun Kim; Woo Jin Kim; Sun‐Young Kong; So-Youn Jung; Hyun-Jin Kim,Journal Article,Multidisciplinary Digital Publishing Institute,6,TRUE,https://www.mdpi.com/2072-6694/16/22/3799/pdf?version=1731397646,39594754,10.3390/cancers16223799,breast cancer mortality,Breast cancer,Oncology,SHAP,XGBoost; ML models (unspecified),Tabular/EHR,Survival/mortality prediction,high
1454,2025,Multiclass skin lesion classification and localziation from dermoscopic images using a novel network-level fused deep architecture and explainable artificial intelligence,Mehak Arshad; Muhammad Attique Khan; Nouf Abdullah Almujally; Areej Alasiry; Mehrez Marzougui; Yunyoung Nam,Journal Article,BioMed Central,14,TRUE,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-025-03051-2,40597254,10.1186/s12911-025-03051-2,skin cancer (dermoscopic lesion classification),Skin cancer,Oncology,LIME,Inverted Residual Network; Inverted Bottleneck Network; Fused DL architecture; Bayesian Optimisation,Multimodal,Prognosis/outcome prediction,high
1458,2025,Multimodal Visualization and Explainable Machine Learning-Driven Markers Enable Early Identification and Prognosis Prediction for Symptomatic Aortic Stenosis and Heart Failure With Preserved Ejection Fraction After Transcatheter Aortic Valve Replacement: ,Jun Wang; Jiajun Zhu; Hui Li; Shouling Wu; Siyang Li; Zhuoya Yao; Tongjian Zhu; Bi Tang; Shengxing Tang; Jinjun Liu,Journal Article||Multicenter Study,JMIR Publications,19,TRUE,https://www.jmir.org/2025/1/e70587/PDF,40310672,10.2196/70587,adverse outcomes after TAVR in aortic stenosis with HFpEF,Cardiac surgery,Cardiology,SHAP,SVM; Decision Tree; KNN; Random Forest; XGBoost; LASSO; Boruta,Multimodal,Treatment response prediction,high
1459,2024,Multiomics and eXplainable artificial intelligence for decision support in insulin resistance early diagnosis: A pediatric population-based longitudinal study,Álvaro Torres‐Martos; Augusto Anguita‐Ruiz; Mireia Bustos‐Aibar; Alberto Ramírez‐Mena; M Arteaga; Gloria Bueno; Rosaura Leis; Concepción M. Aguilera; Rafael Alcalá; Jesús Alcalá‐Fdez,"Journal Article||Research Support, Non-U.S. Gov't",Elsevier BV,21,TRUE,https://ars.els-cdn.com/content/image/1-s2.0-S0933365724002045-ga1_lrg.jpg,,10.1016/j.artmed.2024.102962,insulin resistance in paediatric obesity,Obesity,Diabetes & Endocrinology,SHAP,ML algorithms (unspecified),Omics,Prognosis/outcome prediction,high
1462,2023,Multiple Explainable Approaches to Predict the Risk of Stroke Using Artificial Intelligence,S Susmita; Krishnaraj Chadaga; Niranjana Sampathila; Srikanth Prabhu; Rajagopala Chadaga; K. S. Swathi,Article,Multidisciplinary Digital Publishing Institute,32,TRUE,https://www.mdpi.com/2078-2489/14/8/435/pdf?version=1690965027,,10.3390/info14080435,stroke,Stroke,Neurology,SHAP; ELI5; QLattice; LIME; Anchor,Stacking Ensemble; ML classifiers (unspecified),Tabular/EHR,Survival/mortality prediction,high
1463,2023,Multivariate longitudinal data for survival analysis of cardiovascular event prediction in young adults: insights from a comparative explainable study,Hieu Nguyen; Henrique Doria De Vasconcellos; Kimberley Keck; Jared P. Reis; Cora E. Lewis; Steven Sidney; Donald M. Lloyd‐Jones; Pamela J. Schreiner; Eliseo Güallar; Colin O. Wu; João A.C. Lima; Bharath Ambale‐Venkatesh,"Journal Article||Research Support, N.I.H., Extramural||Observational Study",BioMed Central,19,TRUE,https://bmcmedresmethodol.biomedcentral.com/counter/pdf/10.1186/s12874-023-01845-4,36698064,10.1186/s12874-023-01845-4,cardiovascular risk in young adults (longitudinal),Cardiovascular disease,Cardiology,SHAP; TIME (Temporal Importance Model Explanation),Random Survival Forest; ML models (unspecified); DL models (unspecified),Tabular/EHR,Survival/mortality prediction,high
1467,2025,Neonatal asphyxia prediction using features extracted from cardiotocography data by explainable artificial intelligence,H. Kinoshita; Hiroaki Fukunishi; Chihiro Shibata; Toyofumi Hirakawa; Kohei Miyata; Fusanori Yotsumoto,Article,Elsevier BV,2,TRUE,https://doi.org/10.1016/j.imu.2025.101636,,10.1016/j.imu.2025.101636,neonatal asphyxia,Neonatal asphyxia,"Maternal, Reproductive & Child Health",SHAP,LightGBM,Physiological signal,Prognosis/outcome prediction,high
1475,2023,Obstructive sleep apnea event detection using explainable deep learning models for a portable monitor,Ángel Serrano Alarcón; Natividad Martínez Madrid; Ralf Seepold; Juan Antonio Ortega,Journal Article,Frontiers Media,31,TRUE,https://www.frontiersin.org/articles/10.3389/fnins.2023.1155900/pdf,37521695,10.3389/fnins.2023.1155900,obstructive sleep apnoea,Obstructive sleep apnoea,Respiratory & Infectious Disease,Grad-CAM,1D-CNN,Physiological signal,Monitoring/management,high
1477,2025,OCT-based diagnosis of glaucoma and glaucoma stages using explainable machine learning,Md. Mahmudul Hasan; Jack Phu; Henrietta Wang; Arcot Sowmya; Michael Kalloniatis; Erik Meijering,"Journal Article||Research Support, Non-U.S. Gov't",Nature Portfolio,39,TRUE,https://www.nature.com/articles/s41598-025-87219-w.pdf,39875492,10.1038/s41598-025-87219-w,glaucoma,Glaucoma,Ophthalmology,SHAP; Partial Dependency Analysis,ML classifiers (unspecified),Medical imaging,Risk prediction/screening,high
1478,2024,On the diagnosis of chronic kidney disease using a machine learning-based interface with explainable artificial intelligence,Gangani Dharmarathne; Madhusha Bogahawaththa; Marion McAfee; Upaka Rathnayake; D.P.P. Meddage,Article,Elsevier BV,49,TRUE,https://doi.org/10.1016/j.iswa.2024.200397,,10.1016/j.iswa.2024.200397,chronic kidney disease,Chronic kidney disease,Nephrology & Urology,SHAP; Partial Dependence Plot,XGBoost; ML algorithms (unspecified),Tabular/EHR,Survival/mortality prediction,high
